,X,sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,salary,status
1,5,5,M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,425000,Placed
2,11,11,M,58,Central,61,Central,Commerce,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,260000,Not Placed
3,14,14,F,77,Central,87,Central,Commerce,59,Comm&Mgmt,No,68,Mkt&Fin,68.63,218000,Placed
4,15,15,M,62,Central,47,Central,Commerce,50,Comm&Mgmt,No,76,Mkt&HR,54.96,NA,Not Placed
5,16,16,F,65,Central,75,Central,Commerce,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,200000,Placed
6,17,17,M,63,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,300000,Placed
7,23,23,F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,No,55.53,Mkt&HR,68.81,360000,Placed
8,24,24,F,77.4,Others,60,Others,Science,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,300000,Placed
9,25,25,M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,360000,Placed
10,26,26,F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,NA,Not Placed
11,28,28,M,63,Others,67,Others,Commerce,66,Comm&Mgmt,No,68,Mkt&HR,57.69,265000,Placed
12,30,30,M,62,Central,67,Central,Commerce,58,Comm&Mgmt,No,77,Mkt&Fin,51.29,NA,Placed
13,40,40,M,81,Others,68,Others,Science,64,Sci&Tech,No,93,Mkt&Fin,62.56,411000,Placed
14,42,42,F,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,Yes,65,Mkt&HR,69.76,NA,Placed
15,43,43,M,49,Others,39,Central,Science,65,Others,No,63,Mkt&Fin,51.21,NA,Not Placed
16,46,46,F,76,Central,64,Central,Science,72,Sci&Tech,No,58,Mkt&HR,66.53,NA,Placed
17,49,49,M,63,Others,62,Others,Commerce,68,Comm&Mgmt,No,64,Mkt&Fin,62.46,250000,Placed
18,50,50,F,50,Others,37,Others,Arts,52,Others,No,65,Mkt&HR,56.11,NA,Not Placed
19,53,53,F,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,No,71.2,Mkt&HR,65.49,NA,Not Placed
20,55,55,F,74,Central,60,Others,Science,69,Comm&Mgmt,No,78,Mkt&HR,65.56,216000,Placed
21,56,56,M,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,No,71,Mkt&HR,52.71,220000,Placed
22,59,59,M,74,Central,62,Others,Science,68,Comm&Mgmt,No,74,Mkt&Fin,57.99,268000,Placed
23,60,60,M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,No,57.6,Mkt&Fin,56.66,265000,Not Placed
