"","sl_no","gender","ssc_p","ssc_b","hsc_p","hsc_b","hsc_s","degree_p","degree_t","workex","etest_p","specialisation","mba_p","status","salary"
"4",4,"M",56,"Central",52,"Central","Science",52,"Sci&Tech","No",66,"Mkt&HR",59.43,"Not Placed",NA
"6",6,"M",55,"Others",49.8,"Others","Science",67.25,"Sci&Tech","Yes",55,"Mkt&Fin",51.58,"Not Placed",NA
"7",7,"F",46,"Others",49.2,"Others","Commerce",79,"Comm&Mgmt","No",74.28,"Mkt&Fin",53.29,"Not Placed",NA
"10",10,"M",58,"Central",70,"Central","Commerce",61,"Comm&Mgmt","No",54,"Mkt&Fin",52.21,"Not Placed",NA
"13",13,"F",47,"Central",55,"Others","Science",65,"Comm&Mgmt","No",62,"Mkt&HR",65.04,"Not Placed",NA
"18",18,"F",55,"Central",67,"Central","Commerce",64,"Comm&Mgmt","No",60,"Mkt&Fin",67.28,"Not Placed",NA
"19",19,"F",63,"Central",66,"Central","Commerce",64,"Comm&Mgmt","No",68,"Mkt&HR",64.08,"Not Placed",NA
"32",32,"F",67,"Central",53,"Central","Science",65,"Sci&Tech","No",64,"Mkt&HR",58.32,"Not Placed",NA
"35",35,"M",62,"Others",51,"Others","Science",52,"Others","No",68.44,"Mkt&HR",62.77,"Not Placed",NA
"37",37,"M",51,"Central",44,"Central","Commerce",57,"Comm&Mgmt","No",64,"Mkt&Fin",51.45,"Not Placed",NA
"47",47,"F",70.89,"Others",71.98,"Others","Science",65.6,"Comm&Mgmt","No",68,"Mkt&HR",71.63,"Not Placed",NA
"52",52,"M",54.4,"Central",61.12,"Central","Commerce",56.2,"Comm&Mgmt","No",67,"Mkt&HR",62.65,"Not Placed",NA
"69",69,"F",69.7,"Central",47,"Central","Commerce",72.7,"Sci&Tech","No",79,"Mkt&HR",59.24,"Not Placed",NA
"76",76,"F",59,"Central",62,"Others","Commerce",77.5,"Comm&Mgmt","No",74,"Mkt&HR",67,"Not Placed",NA
"83",83,"M",63,"Central",67,"Central","Commerce",74,"Comm&Mgmt","No",82,"Mkt&Fin",60.44,"Not Placed",NA
"98",98,"F",70.5,"Central",62.5,"Others","Commerce",61,"Comm&Mgmt","No",93.91,"Mkt&Fin",69.03,"Not Placed",NA
"101",101,"F",45,"Others",57,"Others","Commerce",58,"Comm&Mgmt","Yes",56.39,"Mkt&HR",64.95,"Not Placed",NA
"106",106,"M",59,"Central",64,"Others","Science",58,"Sci&Tech","No",85,"Mkt&HR",55.3,"Not Placed",NA
"107",107,"M",61.08,"Others",50,"Others","Science",54,"Sci&Tech","No",71,"Mkt&Fin",65.69,"Not Placed",NA
"110",110,"M",52,"Central",63,"Others","Science",65,"Sci&Tech","Yes",86,"Mkt&HR",56.09,"Not Placed",NA
"112",112,"M",51,"Others",54,"Others","Science",61,"Sci&Tech","No",60,"Mkt&HR",60.64,"Not Placed",NA
"121",121,"M",58,"Others",40,"Others","Science",59,"Comm&Mgmt","No",73,"Mkt&HR",58.81,"Not Placed",NA
"137",137,"F",47,"Central",59,"Central","Arts",64,"Comm&Mgmt","No",78,"Mkt&Fin",61.58,"Not Placed",NA
"142",142,"M",66,"Central",64,"Central","Science",60,"Comm&Mgmt","No",60,"Mkt&HR",61.9,"Not Placed",NA
"145",145,"M",52,"Others",50,"Others","Arts",61,"Comm&Mgmt","No",60,"Mkt&Fin",58.52,"Not Placed",NA
"156",156,"M",51.57,"Others",74.66,"Others","Commerce",59.9,"Comm&Mgmt","Yes",56.15,"Mkt&HR",65.99,"Not Placed",NA
"159",159,"M",67,"Others",63,"Others","Science",64,"Sci&Tech","No",60,"Mkt&Fin",61.87,"Not Placed",NA
"160",160,"M",52,"Central",49,"Others","Commerce",58,"Comm&Mgmt","No",62,"Mkt&HR",60.59,"Not Placed",NA
"162",162,"M",55.6,"Others",51,"Others","Commerce",57.5,"Comm&Mgmt","No",57.63,"Mkt&HR",62.72,"Not Placed",NA
"166",166,"F",63.3,"Central",78.33,"Others","Commerce",74,"Comm&Mgmt","No",80,"Mkt&Fin",74.56,"Not Placed",NA
"168",168,"M",67.9,"Others",62,"Others","Science",67,"Sci&Tech","Yes",58.1,"Mkt&Fin",75.71,"Not Placed",NA
"169",169,"F",48,"Central",51,"Central","Commerce",58,"Comm&Mgmt","Yes",60,"Mkt&HR",58.79,"Not Placed",NA
"170",170,"M",59.96,"Others",42.16,"Others","Science",61.26,"Sci&Tech","No",54.48,"Mkt&HR",65.48,"Not Placed",NA
"171",171,"F",63.4,"Others",67.2,"Others","Commerce",60,"Comm&Mgmt","No",58.06,"Mkt&HR",69.28,"Not Placed",NA
"174",174,"F",52,"Others",52,"Others","Science",55,"Sci&Tech","No",67,"Mkt&HR",59.32,"Not Placed",NA
"176",176,"M",63,"Others",62,"Others","Science",65,"Sci&Tech","No",87.5,"Mkt&HR",60.69,"Not Placed",NA
"180",180,"F",77.8,"Central",64,"Central","Science",64.2,"Sci&Tech","No",75.5,"Mkt&HR",72.14,"Not Placed",NA
"182",182,"M",62,"Central",60.33,"Others","Science",64.21,"Sci&Tech","No",63,"Mkt&HR",60.02,"Not Placed",NA
"183",183,"M",52,"Others",65,"Others","Arts",57,"Others","Yes",75,"Mkt&Fin",59.81,"Not Placed",NA
"185",185,"F",56.28,"Others",62.83,"Others","Commerce",59.79,"Comm&Mgmt","No",60,"Mkt&HR",57.29,"Not Placed",NA
"187",187,"F",52,"Central",64,"Central","Commerce",61,"Comm&Mgmt","No",55,"Mkt&Fin",62.93,"Not Placed",NA
"189",189,"M",61.8,"Others",47,"Others","Commerce",54.38,"Comm&Mgmt","No",57,"Mkt&Fin",56.13,"Not Placed",NA
"191",191,"F",64,"Others",70.2,"Central","Commerce",61,"Comm&Mgmt","No",50,"Mkt&Fin",62.5,"Not Placed",NA
"199",199,"F",67,"Central",70,"Central","Commerce",65,"Others","No",88,"Mkt&HR",71.96,"Not Placed",NA
"202",202,"M",54.2,"Central",63,"Others","Science",58,"Comm&Mgmt","No",79,"Mkt&HR",58.44,"Not Placed",NA
"207",207,"M",41,"Central",42,"Central","Science",60,"Comm&Mgmt","No",97,"Mkt&Fin",53.39,"Not Placed",NA
"1",1,"M",67,"Others",91,"Others","Commerce",58,"Sci&Tech","No",55,"Mkt&HR",58.8,"Placed",270000
"2",2,"M",79.33,"Central",78.33,"Others","Science",77.48,"Sci&Tech","Yes",86.5,"Mkt&Fin",66.28,"Placed",200000
"3",3,"M",65,"Central",68,"Central","Arts",64,"Comm&Mgmt","No",75,"Mkt&Fin",57.8,"Placed",250000
"8",8,"M",82,"Central",64,"Central","Science",66,"Sci&Tech","Yes",67,"Mkt&Fin",62.14,"Placed",252000
"9",9,"M",73,"Central",79,"Central","Commerce",72,"Comm&Mgmt","No",91.34,"Mkt&Fin",61.29,"Placed",231000
"12",12,"M",69.6,"Central",68.4,"Central","Commerce",78.3,"Comm&Mgmt","Yes",60,"Mkt&Fin",63.7,"Placed",250000
"20",20,"M",60,"Others",67,"Others","Arts",70,"Comm&Mgmt","Yes",50.48,"Mkt&Fin",77.89,"Placed",236000
"21",21,"M",62,"Others",65,"Others","Commerce",66,"Comm&Mgmt","No",50,"Mkt&HR",56.7,"Placed",265000
"22",22,"F",79,"Others",76,"Others","Commerce",85,"Comm&Mgmt","No",95,"Mkt&Fin",69.06,"Placed",393000
"27",27,"M",71,"Others",79,"Others","Commerce",66,"Comm&Mgmt","Yes",94,"Mkt&Fin",57.55,"Placed",240000
"29",29,"M",76.76,"Others",76.5,"Others","Commerce",67.5,"Comm&Mgmt","Yes",73.35,"Mkt&Fin",64.15,"Placed",350000
"31",31,"F",64,"Central",73.5,"Central","Commerce",73,"Comm&Mgmt","No",52,"Mkt&HR",56.7,"Placed",250000
"33",33,"F",61,"Central",81,"Central","Commerce",66.4,"Comm&Mgmt","No",50.89,"Mkt&HR",62.21,"Placed",278000
"34",34,"F",87,"Others",65,"Others","Science",81,"Comm&Mgmt","Yes",88,"Mkt&Fin",72.78,"Placed",260000
"36",36,"F",69,"Central",78,"Central","Commerce",72,"Comm&Mgmt","No",71,"Mkt&HR",62.74,"Placed",300000
"38",38,"F",79,"Central",76,"Central","Science",65.6,"Sci&Tech","No",58,"Mkt&HR",55.47,"Placed",320000
"39",39,"F",73,"Others",58,"Others","Science",66,"Comm&Mgmt","No",53.7,"Mkt&HR",56.86,"Placed",240000
"41",41,"F",78,"Central",77,"Others","Commerce",80,"Comm&Mgmt","No",60,"Mkt&Fin",66.72,"Placed",287000
"44",44,"M",87,"Others",87,"Others","Commerce",68,"Comm&Mgmt","No",95,"Mkt&HR",62.9,"Placed",300000
"45",45,"F",77,"Others",73,"Others","Commerce",81,"Comm&Mgmt","Yes",89,"Mkt&Fin",69.7,"Placed",200000
"48",48,"M",63,"Central",60,"Central","Commerce",57,"Comm&Mgmt","Yes",78,"Mkt&Fin",54.55,"Placed",204000
"51",51,"F",75.2,"Central",73.2,"Central","Science",68.4,"Comm&Mgmt","No",65,"Mkt&HR",62.98,"Placed",200000
"54",54,"M",80,"Others",70,"Others","Science",72,"Sci&Tech","No",87,"Mkt&HR",71.04,"Placed",450000
"57",57,"M",63,"Others",71.4,"Others","Commerce",61.4,"Comm&Mgmt","No",68,"Mkt&Fin",66.88,"Placed",240000
"58",58,"M",68,"Central",76,"Central","Commerce",74,"Comm&Mgmt","No",80,"Mkt&Fin",63.59,"Placed",360000
"63",63,"F",86.5,"Others",64.2,"Others","Science",67.4,"Sci&Tech","No",59,"Mkt&Fin",59.69,"Placed",240000
"65",65,"M",80,"Others",73,"Others","Commerce",75,"Comm&Mgmt","No",61,"Mkt&Fin",58.78,"Placed",240000
"73",73,"M",84.86,"Others",67,"Others","Science",78,"Comm&Mgmt","No",95.5,"Mkt&Fin",68.53,"Placed",240000
"77",77,"F",66.5,"Others",70.4,"Central","Arts",71.93,"Comm&Mgmt","No",61,"Mkt&Fin",64.27,"Placed",230000
"78",78,"M",64,"Others",80,"Others","Science",65,"Sci&Tech","Yes",69,"Mkt&Fin",57.65,"Placed",500000
"79",79,"M",84,"Others",90.9,"Others","Science",64.5,"Sci&Tech","No",86.04,"Mkt&Fin",59.42,"Placed",270000
"82",82,"M",81.7,"Others",63,"Others","Science",67,"Comm&Mgmt","Yes",86,"Mkt&Fin",70.2,"Placed",300000
"84",84,"M",84,"Others",79,"Others","Science",68,"Sci&Tech","Yes",84,"Mkt&Fin",66.69,"Placed",300000
"87",87,"M",62,"Others",63,"Others","Commerce",64,"Comm&Mgmt","No",67,"Mkt&Fin",57.03,"Placed",220000
