"","X","Loan_ID","Principal","terms","effective_date","due_date","paid_off_time","past_due_days","age","education","Gender","loan_status"
"1",1,"xqd20166231",1000,30,"9/8/2016","10/7/2016","9/14/2016 19:31",NA,45,"High School or Below","male","PAIDOFF"
"2",5,"xqd20160005",1000,30,"9/9/2016","10/8/2016","9/23/2016 21:36",NA,28,"college","female","PAIDOFF"
"3",8,"xqd20160008",1000,30,"9/9/2016","10/8/2016","10/5/2016 20:33",NA,36,"college","male","PAIDOFF"
"4",9,"xqd20160909",1000,30,"9/9/2016","10/8/2016","10/8/2016 16:00",NA,28,"college","male","PAIDOFF"
"5",12,"xqd20160012",1000,15,"9/10/2016","10/9/2016","10/9/2016 16:00",NA,39,"High School or Below","male","PAIDOFF"
"6",23,"xqd20160023",1000,30,"9/10/2016","10/9/2016","10/9/2016 23:00",NA,25,"High School or Below","male","PAIDOFF"
"7",27,"xqd20160027",800,15,"9/10/2016","9/24/2016","9/21/2016 20:16",NA,39,"Bechalor","male","PAIDOFF"
"8",28,"xqd20170088",1000,15,"9/10/2016","9/24/2016","9/23/2016 8:21",NA,34,"Bechalor","male","PAIDOFF"
"9",32,"xqd20160032",1000,30,"9/11/2016","10/10/2016","10/7/2016 21:48",NA,37,"college","male","PAIDOFF"
"10",37,"xqd20160037",1000,30,"9/11/2016","10/10/2016","10/10/2016 16:00",NA,27,"High School or Below","male","PAIDOFF"
"11",44,"xqd20160044",1000,15,"9/11/2016","9/25/2016","9/20/2016 15:00",NA,30,"college","male","PAIDOFF"
"12",45,"xqd20160045",1000,15,"9/11/2016","9/25/2016","9/21/2016 22:29",NA,24,"Bechalor","female","PAIDOFF"
"13",46,"xqd20160046",800,7,"9/11/2016","9/17/2016","9/12/2016 22:17",NA,35,"High School or Below","male","PAIDOFF"
"14",48,"xqd20160048",1000,30,"9/11/2016","10/10/2016","10/9/2016 8:53",NA,32,"college","male","PAIDOFF"
"15",51,"xqd20160051",800,15,"9/11/2016","9/25/2016","9/25/2016 13:00",NA,27,"college","female","PAIDOFF"
"16",62,"xqd20160062",1000,15,"9/11/2016","9/25/2016","9/24/2016 13:42",NA,37,"college","male","PAIDOFF"
"17",69,"xqd20160069",300,7,"9/11/2016","9/17/2016","9/14/2016 22:05",NA,35,"college","male","PAIDOFF"
"18",73,"xqd20160073",1000,30,"9/11/2016","10/10/2016","10/10/2016 16:00",NA,33,"Bechalor","female","PAIDOFF"
"19",80,"xqd20160080",1000,30,"9/11/2016","10/10/2016","10/10/2016 9:00",NA,44,"High School or Below","female","PAIDOFF"
"20",81,"xqd20160081",1000,30,"9/11/2016","10/10/2016","9/21/2016 16:18",NA,28,"High School or Below","male","PAIDOFF"
"21",82,"xqd20160082",1000,7,"9/11/2016","9/17/2016","9/13/2016 14:53",NA,25,"college","male","PAIDOFF"
"22",84,"xqd20160084",800,15,"9/11/2016","9/25/2016","9/25/2016 13:00",NA,33,"college","male","PAIDOFF"
"23",90,"xqd90160090",800,15,"9/11/2016","9/25/2016","9/24/2016 20:33",NA,46,"High School or Below","female","PAIDOFF"
"24",94,"xqd20160094",800,15,"9/11/2016","9/25/2016","9/21/2016 12:43",NA,27,"High School or Below","male","PAIDOFF"
"25",96,"xqd20160096",1000,30,"9/11/2016","10/10/2016","10/8/2016 20:49",NA,36,"college","male","PAIDOFF"
"26",98,"xqd20160098",1000,30,"9/11/2016","10/10/2016","10/10/2016 9:01",NA,34,"college","male","PAIDOFF"
"27",108,"xqd20160108",1000,30,"9/11/2016","10/10/2016","10/10/2016 9:01",NA,31,"High School or Below","male","PAIDOFF"
"28",112,"xqd20160112",1000,30,"9/11/2016","11/9/2016","11/9/2016 9:00",NA,27,"college","female","PAIDOFF"
"29",113,"xqd20160113",1000,30,"9/11/2016","10/10/2016","10/10/2016 9:01",NA,27,"college","male","PAIDOFF"
"30",127,"xqd20160127",1000,15,"9/11/2016","9/25/2016","9/25/2016 9:00",NA,28,"High School or Below","male","PAIDOFF"
"31",128,"xqd20160128",800,15,"9/11/2016","9/25/2016","9/25/2016 12:24",NA,43,"High School or Below","male","PAIDOFF"
"32",129,"xqd78160129",1000,15,"9/11/2016","9/25/2016","9/25/2016 13:00",NA,34,"Bechalor","male","PAIDOFF"
"33",134,"xqd20160134",1000,30,"9/11/2016","10/10/2016","9/30/2016 7:12",NA,33,"college","female","PAIDOFF"
"34",136,"xqd20160136",1000,30,"9/11/2016","10/10/2016","9/12/2016 10:26",NA,30,"High School or Below","male","PAIDOFF"
"35",139,"xqd20160139",1000,15,"9/11/2016","9/25/2016","9/22/2016 21:45",NA,47,"High School or Below","male","PAIDOFF"
"36",140,"xqd56160140",1000,30,"9/11/2016","10/10/2016","10/9/2016 20:28",NA,20,"High School or Below","male","PAIDOFF"
"37",144,"xqd20160144",800,15,"9/11/2016","9/25/2016","9/21/2016 15:33",NA,33,"college","female","PAIDOFF"
"38",149,"xqd20160149",1000,15,"9/12/2016","9/26/2016","9/26/2016 9:00",NA,26,"Bechalor","male","PAIDOFF"
"39",152,"xqd34160152",800,15,"9/12/2016","9/26/2016","9/23/2016 20:30",NA,23,"college","male","PAIDOFF"
"40",162,"xqd20160162",800,15,"9/12/2016","9/26/2016","9/25/2016 22:09",NA,31,"Bechalor","male","PAIDOFF"
"41",177,"xqd20160177",1000,30,"9/12/2016","10/11/2016","10/11/2016 16:00",NA,38,"High School or Below","male","PAIDOFF"
"42",181,"xqd20160181",1000,15,"9/12/2016","9/26/2016","9/24/2016 11:00",NA,31,"High School or Below","female","PAIDOFF"
"43",185,"xqd20160185",1000,30,"9/12/2016","10/11/2016","10/11/2016 9:00",NA,27,"High School or Below","male","PAIDOFF"
"44",186,"xqd20160186",1000,30,"9/12/2016","10/11/2016","10/10/2016 20:28",NA,31,"High School or Below","female","PAIDOFF"
"45",187,"xqd20160187",1000,30,"9/12/2016","10/11/2016","10/1/2016 10:18",NA,33,"Bechalor","male","PAIDOFF"
"46",191,"xqd20160191",1000,30,"9/12/2016","10/11/2016","9/30/2016 14:38",NA,32,"college","male","PAIDOFF"
"47",197,"xqd20160197",1000,30,"9/12/2016","11/10/2016","11/10/2016 13:00",NA,29,"college","male","PAIDOFF"
"48",198,"xqd20160198",1000,15,"9/12/2016","9/26/2016","9/23/2016 10:32",NA,40,"college","male","PAIDOFF"
"49",211,"xqd20160211",1000,15,"9/12/2016","9/26/2016","9/23/2016 21:58",NA,27,"High School or Below","male","PAIDOFF"
"50",218,"xqd20160218",800,15,"9/12/2016","9/26/2016","9/26/2016 9:00",NA,31,"High School or Below","female","PAIDOFF"
"51",226,"xqd20160226",1000,30,"9/12/2016","10/11/2016","10/11/2016 13:01",NA,26,"High School or Below","male","PAIDOFF"
"52",236,"xqd20160236",1000,30,"9/12/2016","10/11/2016","10/9/2016 21:28",NA,30,"High School or Below","male","PAIDOFF"
"53",247,"xqd20160247",800,15,"9/13/2016","9/27/2016","9/25/2016 12:48",NA,26,"college","male","PAIDOFF"
"54",253,"xqd20160253",1000,30,"9/13/2016","10/12/2016","10/4/2016 12:59",NA,28,"High School or Below","male","PAIDOFF"
"55",254,"xqd20160254",500,7,"9/13/2016","9/19/2016","9/17/2016 20:51",NA,22,"High School or Below","male","PAIDOFF"
"56",266,"xqd20160266",1000,15,"9/13/2016","9/27/2016","9/26/2016 15:10",NA,34,"Bechalor","female","PAIDOFF"
"57",271,"xqd20160271",1000,30,"9/14/2016","10/13/2016","10/14/2016 11:03",NA,29,"High School or Below","male","PAIDOFF"
"58",279,"xqd20160279",800,15,"9/14/2016","9/28/2016","9/15/2016 0:43",NA,36,"college","male","PAIDOFF"
"59",282,"xqd20160282",1000,15,"9/14/2016","9/28/2016","9/28/2016 9:00",NA,28,"Bechalor","male","PAIDOFF"
"60",291,"xqd20160291",1000,15,"9/14/2016","9/28/2016","9/22/2016 9:28",NA,30,"college","female","PAIDOFF"
"61",311,"xqd20160311",1000,30,"9/10/2016","10/9/2016",NA,60,30,"college","male","COLLECTION"
"62",313,"xqd20160313",1000,30,"9/10/2016","10/9/2016",NA,60,27,"High School or Below","male","COLLECTION"
"63",315,"xqd20160315",1000,30,"9/10/2016","10/9/2016",NA,60,24,"college","male","COLLECTION"
"64",318,"xqd20160318",1000,15,"9/10/2016","9/24/2016",NA,75,29,"High School or Below","male","COLLECTION"
"65",324,"xqd20160324",800,15,"9/10/2016","9/24/2016",NA,75,32,"college","male","COLLECTION"
"66",330,"xqd20160330",1000,30,"9/11/2016","10/10/2016",NA,59,44,"Bechalor","male","COLLECTION"
"67",333,"xqd20160333",1000,30,"9/11/2016","10/10/2016",NA,59,21,"High School or Below","male","COLLECTION"
"68",334,"xqd20160334",1000,30,"9/11/2016","10/10/2016",NA,59,30,"High School or Below","female","COLLECTION"
"69",339,"xqd20160339",1000,15,"9/11/2016","9/25/2016",NA,74,27,"college","female","COLLECTION"
"70",344,"xqd20160344",1000,30,"9/11/2016","10/10/2016",NA,59,23,"High School or Below","male","COLLECTION"
"71",353,"xqd20160353",1000,30,"9/11/2016","10/10/2016",NA,59,35,"High School or Below","male","COLLECTION"
"72",355,"xqd20160355",1000,30,"9/11/2016","10/10/2016",NA,59,37,"High School or Below","male","COLLECTION"
"73",359,"xqd20160359",1000,30,"9/11/2016","10/10/2016",NA,59,32,"college","male","COLLECTION"
"74",361,"xqd20160361",1000,30,"9/11/2016","10/10/2016",NA,59,34,"college","male","COLLECTION"
