"","x"
"1","PAIDOFF"
"2","PAIDOFF"
"3","PAIDOFF"
"4","PAIDOFF"
"5","PAIDOFF"
"6","PAIDOFF"
"7","PAIDOFF"
"8","PAIDOFF"
"9","PAIDOFF"
"10","PAIDOFF"
"11","PAIDOFF"
"12","PAIDOFF"
"13","PAIDOFF"
"14","PAIDOFF"
"15","PAIDOFF"
"16","PAIDOFF"
"17","PAIDOFF"
"18","PAIDOFF"
"19","PAIDOFF"
"20","PAIDOFF"
"21","PAIDOFF"
"22","PAIDOFF"
"23","PAIDOFF"
"24","PAIDOFF"
"25","PAIDOFF"
"26","PAIDOFF"
"27","PAIDOFF"
"28","PAIDOFF"
"29","PAIDOFF"
"30","PAIDOFF"
"31","PAIDOFF"
"32","PAIDOFF"
"33","PAIDOFF"
"34","PAIDOFF"
"35","PAIDOFF"
"36","PAIDOFF"
"37","PAIDOFF"
"38","PAIDOFF"
"39","PAIDOFF"
"40","PAIDOFF"
"41","PAIDOFF"
"42","PAIDOFF"
"43","PAIDOFF"
"44","PAIDOFF"
"45","PAIDOFF"
"46","PAIDOFF"
"47","PAIDOFF"
"48","PAIDOFF"
"49","PAIDOFF"
"50","PAIDOFF"
"51","PAIDOFF"
"52","PAIDOFF"
"53","PAIDOFF"
"54","PAIDOFF"
"55","PAIDOFF"
"56","PAIDOFF"
"57","PAIDOFF"
"58","PAIDOFF"
"59","PAIDOFF"
"60","PAIDOFF"
"61","COLLECTION"
"62","COLLECTION"
"63","COLLECTION"
"64","COLLECTION"
"65","COLLECTION"
"66","COLLECTION"
"67","COLLECTION"
"68","COLLECTION"
"69","COLLECTION"
"70","COLLECTION"
"71","COLLECTION"
"72","COLLECTION"
"73","COLLECTION"
"74","COLLECTION"
"75","COLLECTION"
"76","COLLECTION"
"77","COLLECTION"
"78","COLLECTION"
"79","COLLECTION"
"80","COLLECTION"
"81","COLLECTION_PAIDOFF"
"82","COLLECTION_PAIDOFF"
"83","COLLECTION_PAIDOFF"
"84","COLLECTION_PAIDOFF"
"85","COLLECTION_PAIDOFF"
"86","COLLECTION_PAIDOFF"
"87","COLLECTION_PAIDOFF"
"88","COLLECTION_PAIDOFF"
"89","COLLECTION_PAIDOFF"
"90","COLLECTION_PAIDOFF"
"91","COLLECTION_PAIDOFF"
"92","COLLECTION_PAIDOFF"
"93","COLLECTION_PAIDOFF"
"94","COLLECTION_PAIDOFF"
"95","COLLECTION_PAIDOFF"
"96","COLLECTION_PAIDOFF"
"97","COLLECTION_PAIDOFF"
"98","COLLECTION_PAIDOFF"
"99","COLLECTION_PAIDOFF"
"100","COLLECTION_PAIDOFF"
