"","Loan_ID","loan_status","Principal","terms","effective_date","due_date","paid_off_time","past_due_days","age","education","Gender"
"2","xqd20168902","PAIDOFF",1000,30,"9/8/2016","10/7/2016","10/7/2016 9:00",NA,50,"Bechalor","female"
"3","xqd20160003","PAIDOFF",1000,30,"9/8/2016","10/7/2016","9/25/2016 16:58",NA,33,"Bechalor","female"
"4","xqd20160004","PAIDOFF",1000,15,"9/8/2016","9/22/2016","9/22/2016 20:00",NA,27,"college","male"
"6","xqd20160706","PAIDOFF",300,7,"9/9/2016","9/15/2016","9/9/2016 13:45",NA,35,"Master or Above","male"
"7","xqd20160007","PAIDOFF",1000,30,"9/9/2016","10/8/2016","10/7/2016 23:07",NA,29,"college","male"
"10","xqd20160010","PAIDOFF",800,15,"9/10/2016","9/24/2016","9/24/2016 13:00",NA,26,"college","male"
"11","xqd20160011","PAIDOFF",300,7,"9/10/2016","9/16/2016","9/11/2016 19:11",NA,29,"college","male"
"13","xqd20160013","PAIDOFF",1000,30,"9/10/2016","10/9/2016","10/7/2016 23:32",NA,26,"college","male"
"14","xqd20160014","PAIDOFF",900,7,"9/10/2016","9/16/2016","9/13/2016 21:57",NA,26,"college","female"
"15","xqd20160015","PAIDOFF",1000,7,"9/10/2016","9/16/2016","9/15/2016 14:27",NA,27,"High School or Below","male"
"16","xqd20160016","PAIDOFF",800,15,"9/10/2016","9/24/2016","9/24/2016 16:00",NA,26,"college","male"
"17","xqd20160017","PAIDOFF",1000,30,"9/10/2016","10/9/2016","9/27/2016 14:21",NA,40,"High School or Below","male"
"18","xqd20160018","PAIDOFF",1000,15,"9/10/2016","9/24/2016","9/23/2016 18:49",NA,32,"High School or Below","male"
"19","xqd20160019","PAIDOFF",1000,30,"9/10/2016","10/9/2016","10/5/2016 22:05",NA,32,"High School or Below","male"
"20","xqd20160020","PAIDOFF",800,30,"9/10/2016","10/9/2016","9/23/2016 7:42",NA,26,"college","male"
"21","xqd20160021","PAIDOFF",1000,30,"9/10/2016","10/9/2016","10/9/2016 9:00",NA,26,"college","male"
"22","xqd20160022","PAIDOFF",1000,30,"9/10/2016","10/9/2016","10/8/2016 17:09",NA,43,"High School or Below","female"
"24","xqd20160024","PAIDOFF",1000,15,"9/10/2016","9/24/2016","9/24/2016 13:00",NA,26,"college","male"
"25","xqd20160025","PAIDOFF",1000,30,"9/10/2016","10/9/2016","10/3/2016 12:50",NA,26,"college","male"
"26","xqd20160026","PAIDOFF",1000,30,"9/10/2016","10/9/2016","9/29/2016 12:18",NA,29,"High School or Below","male"
"29","xqd20160029","PAIDOFF",1000,30,"9/11/2016","10/10/2016","9/22/2016 19:17",NA,31,"college","male"
"30","xqd20160030","PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/9/2016 17:33",NA,33,"college","male"
"31","xqd88160031","PAIDOFF",800,15,"9/11/2016","9/25/2016","9/24/2016 14:41",NA,33,"High School or Below","male"
"33","xqd20160033","PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/9/2016 17:44",NA,27,"college","male"
"34","xqd22169034","PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/9/2016 7:24",NA,37,"college","male"
"35","xqd20160035","PAIDOFF",800,15,"9/11/2016","9/25/2016","9/25/2016 21:49",NA,33,"college","male"
"36","xqd20160036","PAIDOFF",800,15,"9/11/2016","9/25/2016","9/25/2016 9:00",NA,29,"Bechalor","male"
"38","xqd20160038","PAIDOFF",700,15,"9/11/2016","9/25/2016","9/25/2016 13:00",NA,33,"High School or Below","male"
"39","xqd20160039","PAIDOFF",1000,15,"9/11/2016","9/25/2016","9/25/2016 9:00",NA,24,"college","male"
"40","xqd20160040","PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/10/2016 11:33",NA,21,"Bechalor","male"
