"","x"
"1",11
"2",14
"3",10
"4",10
"5",8
"6",13
"7",13
"8",10
"9",14
"10",11
"11",10
"12",13
"13",12
"14",10
"15",10
"16",12
"17",6
"18",10
"19",11
"20",10
"21",13
"22",11
"23",11
"24",13
"25",13
"26",10
"27",10
"28",11
"29",10
"30",12
"31",10
"32",7
"33",10
"34",13
"35",7
"36",5
"37",10
"38",5
"39",7
"40",11
"41",11
"42",10
"43",5
"44",10
"45",11
"46",13
"47",14
"48",10
"49",11
"50",11
"51",10
"52",14
"53",11
"54",10
"55",7
"56",8
"57",11
"58",8
"59",10
"60",7
"61",12
"62",10
"63",11
"64",11
"65",10
"66",8
"67",12
"68",13
"69",12
"70",12
"71",10
"72",11
"73",11
"74",8
"75",10
"76",11
"77",14
"78",11
"79",11
"80",8
"81",7
"82",9
"83",10
"84",11
"85",12
"86",7
"87",10
"88",11
"89",11
"90",10
"91",7
"92",11
"93",10
"94",10
"95",11
"96",9
"97",11
"98",10
"99",10
"100",5
"101",8
