 id        life      edu   
 1          3         3    
 2          1         1    
 3          2         2    
 4          3         3    
 5          1         3    
 6          3         3    
 7          1         3    
 8          2         3    
 9          2         2    
10          3         3    
11          2         2    
12          1         1    
13          3         3    
14          2         2    
15          2         3    
16          2         3    
17          3         3    
18          3         3    
19          1         1    
20          2         2    
21          1         1    
22          1         2    
23          2         3    
24          3         1    
25          1         2    
