id        life     edu
 1         3        3
 2         1        1
 3         2        2
 4         3        3
 5         1        3
 6         3        3
 7         1        3
 8         2        3
 9         2        2
10         3        3
11         2        2
12         1        1
13         3        3
14         2        2
15         2        3
16         2        3
17         3        3
18         3        3
19         1        1
20         2        2
21         1        1
22         1        2
23         2        3
24         3        1
25         1        2
26         2        2
27         1        2
28         2        2
29         2        2
30         3        3
31         2        1
32         3        3
33         2        3
34         3        3
35         2        3
36         3        3
37         3        2
38         3        3
39         2        3
40         2        1
41         3        2
42         3        2
43         2        3
44         3        3
45         3        3
46         3        3
47         2        3
48         2        3
49         2        1
50         3        3
51         2        2
52         2        1
53         2        2
54         2        2
55         2        2
56         2        2
57         3        2
58         3        2
59         2        2
60         3        3
